"Vendor Name","Reference Number","Contract Date","Description of Work","Start Date","End Date","Delivery Date","Contract Value","Comments","Fiscal Year","Quarter"
"Microsoft Canada","CP11141","2007-12-03","0670  Computer equipment - hardware and software","2007-12-17","2008-11-17","","119,472.00","","2007-2008","3rd Quarter"
"The Delta Partners","CP11441","2007-12-05","0499  Other Professional Services not Elsewhere Specified","2007-12-06","2008-01-15","","29,545.50","","2007-2008","3rd Quarter"
"XEROX CANADA INC.","CP11458","2007-12-05","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2007-12-05","2012-12-31","","19,015.20","","2007-2008","3rd Quarter"
"2rism Strategies Inc.","CP11459","2007-12-06","0499  Other Professional Services not Elsewhere Specified","2007-12-10","2008-09-30","","78,758.00","","2007-2008","3rd Quarter"
"CARIBOU COMMUNICATIONS","CP11462","2007-12-06","0351  Communications Professional Services not Elsewhere Specified","2007-12-06","2008-02-29","","15,960.00","","2007-2008","3rd Quarter"
"SOFTCHOICE CORPORATION","CP11525","2007-12-13","0670  Computer equipment - hardware and software","2007-12-19","2008-12-18","","10,263.48","","2007-2008","3rd Quarter"
"Wind Energy Institute of Canada","CP11064","2007-12-14","0499  Other Professional Services not Elsewhere Specified","2007-12-14","2008-03-31","","52,200.00","","2007-2008","3rd Quarter"
"Downey Ford Sales","CP11501","2007-12-19","1261  Road Motor Vehicles","","","2008-03-31","37,631.40","","2007-2008","3rd Quarter"
"GENERAL MOTORS OF CANADA LIMITED","CP11561","2007-12-19","1261  Road Motor Vehicles","","","2008-03-31","21,998.58","","2007-2008","3rd Quarter"
"MERRILL, STEVE","CP11564","2007-12-19","0499  Other Professional Services not Elsewhere Specified","2008-01-02","2008-02-29","","24,607.25","","2007-2008","3rd Quarter"
"COMPART EVENT MANAGEMENT LIMITED","CP11537","2007-12-20","0352  Public Relations Services","2008-01-14","2008-02-29","","41,385.42","","2007-2008","3rd Quarter"
"Cossette Media","CP11574","2007-12-20","0301  Advertising Services","2007-12-20","2008-02-15","","23,061.63","","2007-2008","3rd Quarter"
"Institut canadien de recherche en politiques et administration publiques","CP11140","2007-12-20","0499  Other Professional Services not Elsewhere Specified","2007-12-20","2008-04-30","","59,620.00","","2007-2008","3rd Quarter"
"Manpower  Services Canada Ltd.","CP11613","2008-01-02","0813  Temporary Help Services","2008-01-02","2008-05-02","","10,917.98","","2007-2008","4th Quarter"
"Red Hot Learning Inc.","CP11251","2008-01-02","0499  Other Professional Services not Elsewhere Specified","2008-01-17","2008-03-31","","82,942.00","","2007-2008","4th Quarter"
"The Universalia Management Group Inc.","CP11054","2008-01-02","0499  Other Professional Services not Elsewhere Specified","2008-01-28","2008-07-15","","197,524.00","","2007-2008","4th Quarter"
"Haisley Millar Consulting Group Inc.","CP11611","2008-01-03","0499  Other Professional Services not Elsewhere Specified","2008-02-25","2008-06-30","","39,825.49","","2007-2008","4th Quarter"
"Gardner Pinfold Consulting Economists Limited","CP11650","2008-01-07","0499  Other Professional Services not Elsewhere Specified","2008-01-07","2008-03-31","","40,567.00","","2007-2008","4th Quarter"
"Meridia Audience Response","CP11572","2008-01-07","1222  Data (message/text, and computer) communications equipment","","","2008-01-30","10,580.00","","2007-2008","4th Quarter"
"BMC SOFTWARE DISTRIBUTION, INC.","CP11655","2008-01-09","0670  Computer equipment - hardware and software","2008-03-01","2009-02-28","","32,073.75","","2007-2008","4th Quarter"
"Dymaxion Research Limited","CP11674","2008-01-10","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-01-31","62,996.48","","2007-2008","4th Quarter"
"Maxis Oil & Gas Solutions Inc.","CP11671","2008-01-10","0499  Other Professional Services not Elsewhere Specified","2008-02-11","2008-03-31","","20,875.00","","2007-2008","4th Quarter"
"The Delta Partners","CP11679","2008-01-10","0499  Other Professional Services not Elsewhere Specified","2008-01-14","2008-03-28","","35,460.00","","2007-2008","4th Quarter"
"Anthony Macauley Associates (Victoria) Inc.","CP11696","2008-01-14","0472  Information technology consultants","2008-01-30","2008-03-31","","78,495.47","","2007-2008","4th Quarter"
"EAGLESPIRIT MARKETING INC.","CP11699","2008-01-14","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-01-30","12,689.90","","2007-2008","4th Quarter"
"Hudson Design Group","CP11673","2008-01-15","0351  Communications Professional Services not Elsewhere Specified","2008-01-21","2008-03-31","","11,300.00","","2007-2008","4th Quarter"
"LARA RYAN CONSULTING","CP11755","2008-01-18","0491  Management Consulting","2008-01-25","2008-03-31","","11,752.00","","2007-2008","4th Quarter"
"Bulletproof Solutions Inc.","CP11769","2008-01-21","0499  Other Professional Services not Elsewhere Specified","2008-01-23","2008-02-22","","15,481.00","","2007-2008","4th Quarter"
"Six Continents Corp (Marketing Six Continents inc.)","CP11770","2008-01-21","0491  Management Consulting","2008-01-21","2008-02-26","","15,784.64","","2007-2008","4th Quarter"
"EQUIFAX CANADA INC.","CP11791","2008-01-22","0859  Other Business Services not Elsewhere Specified","2008-01-22","2008-03-31","","11,300.00","","2007-2008","4th Quarter"
"Six Continents Corp (Marketing Six Continents inc.)","CP11777","2008-01-22","0491  Management Consulting","2008-03-01","2008-05-27","","30,961.19","","2007-2008","4th Quarter"
"EAGLESPIRIT MARKETING INC.","CP11857","2008-01-30","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-03-14","73,203.66","","2007-2008","4th Quarter"
"FOXWISE TECHNOLOGIES INC.","CP11862","2008-01-30","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-02-22","74,444.40","","2007-2008","4th Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP11863","2008-01-30","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-02-29","39,962.45","","2007-2008","4th Quarter"
"TELECOM COMPUTER PRODUCTS","CP11859","2008-01-30","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-02-29","39,962.45","","2007-2008","4th Quarter"
"Performance Management Network Inc.","CP11473","2008-02-01","0401  Accounting and Audit Services","2008-02-19","2008-06-30","","69,650.00","","2007-2008","4th Quarter"
"Dymaxion Research Limited","CP11940","2008-02-06","1229  Computer equipment parts","","","2008-03-14","19,750.59","","2007-2008","4th Quarter"
"IMP GROUP LIMITED","CP11937","2008-02-06","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-02-29","11,597.19","","2007-2008","4th Quarter"
"J E Simpson Consulting","CP11996","2008-02-11","0499  Other Professional Services not Elsewhere Specified","2008-02-11","2008-03-28","","35,932.00","","2007-2008","4th Quarter"
"NOVUS CONSULTING GROUP LTD.","CP11997","2008-02-11","0499  Other Professional Services not Elsewhere Specified","2008-02-11","2008-03-28","","27,103.05","","2007-2008","4th Quarter"
"Perlitz Strategy Group-Americas, Inc.","CP12012","2008-02-11","0859  Other Business Services not Elsewhere Specified","2008-02-15","2008-03-28","","20,946.82","","2007-2008","4th Quarter"
"Teknion Furniture Systems Ltd.","CP11903","2008-02-11","1231  Office Furniture and Furnishings, Including Parts","","","2008-03-31","13,189.42","","2007-2008","4th Quarter"
"Yves Gagnon, ing., D.Sc.","CP11987","2008-02-11","0499  Other Professional Services not Elsewhere Specified","2008-02-13","2008-06-30","","23,730.00","","2007-2008","4th Quarter"
"Global Upholstery Co. Inc.","CP12010","2008-02-12","1231  Office Furniture and Furnishings, Including Parts","","","2008-03-31","17,464.72","","2007-2008","4th Quarter"
"CNW  Group","CP12015","2008-02-13","0491  Management Consulting","2008-02-14","2008-02-29","","10,136.10","","2007-2008","4th Quarter"
"Bulletproof Solutions Inc.","CP12033","2008-02-14","0472  Information technology consultants","2008-02-25","2008-08-29","","37,459.50","","2007-2008","4th Quarter"
"Hudson Design Group","CP12032","2008-02-14","0351  Communications Professional Services not Elsewhere Specified","2008-02-18","2008-03-28","","13,757.75","","2007-2008","4th Quarter"
"Anthony Macauley Associates (Victoria) Inc.","CP12108","2008-02-21","1228  Computer software","2008-04-01","2009-03-31","","72,084.96","","2007-2008","4th Quarter"
"Hudson Design Group","CP12117","2008-02-21","0351  Communications Professional Services not Elsewhere Specified","2008-02-21","2008-03-31","","11,209.60","","2007-2008","4th Quarter"
"Softchoice Corporation","CP12135","2008-02-25","0670  Computer equipment - hardware and software","2008-03-18","2009-03-17","","17,797.50","","2007-2008","4th Quarter"
"Softchoice Corporation","CP12179","2008-02-27","0670  Computer equipment - hardware and software","2008-04-01","2009-03-31","","11,074.18","","2007-2008","4th Quarter"
"KEOUGH, KEVIN","CP12151","2008-02-28","0491  Management Consulting","2008-03-04","2008-04-30","","24,500.12","","2007-2008","4th Quarter"
"Sharp Electronics of Canada c/o Pitney Bowes of Canada Ltd","CP12240","2008-02-28","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-03-31","2013-03-31","","14,112.00","","2007-2008","4th Quarter"
"Sharp Electronics of Canada c/o Pitney Bowes of Canada Ltd","CP12193","2008-02-28","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-03-31","2012-03-31","","21,672.00","","2007-2008","4th Quarter"
"A.V. Bruce & Associates Inc.","CP12198","2008-02-29","0341  Communications Research Services","2008-02-29","2008-03-31","","14,690.00","","2007-2008","4th Quarter"
"AMEC Earth & Environmental Limited","CP11820","2008-02-29","0499  Other Professional Services not Elsewhere Specified","2008-02-29","2008-04-30","","39,874.31","","2007-2008","4th Quarter"
"Minolta Business Equipment","CP12249","2008-03-04","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-03-17","2013-03-14","","10,644.60","","2007-2008","4th Quarter"
"AUGER DIRECSYS INC.","CP11938","2008-03-05","0499  Other Professional Services not Elsewhere Specified","2008-03-05","2008-03-31","","39,889.00","","2007-2008","4th Quarter"
"HRA","CP12437","2008-03-07","0499  Other Professional Services not Elsewhere Specified","2008-03-07","2008-05-30","","39,375.00","","2007-2008","4th Quarter"
"Opus International Consultants (Canada) Limited","CP12339","2008-03-07","0499  Other Professional Services not Elsewhere Specified","2008-03-07","2008-05-16","","42,711.74","","2007-2008","4th Quarter"
"ALLSTREAM","CP12299","2008-03-11","0472  Information technology consultants","2008-04-01","2008-08-31","","74,128.00","","2007-2008","4th Quarter"
"INFO CANADA","CP12222","2008-03-13","1143  Printed Matter, Including Books, Newspapers, Pictures, Manuscripts and Forms","","","2008-03-19","12,213.04","","2007-2008","4th Quarter"
"Wendy Kennedy","CP12360","2008-03-14","0499  Other Professional Services not Elsewhere Specified","2008-03-19","2008-04-30","","25,000.00","","2007-2008","4th Quarter"
"Canadian Agro-Sustainability Partnership","CP12438","2008-03-18","0499  Other Professional Services not Elsewhere Specified","2008-03-18","2008-03-31","","24,990.00","","2007-2008","4th Quarter"
"ARI Financial Services","CP12780","2008-03-21","1122  Gasoline","","","2009-03-31","14,639.38","","2007-2008","4th Quarter"
"ARI Financial Services","CP12425","2008-03-26","0682  Road Motor Vehicles - Non-military","2008-04-01","2009-03-31","","23,418.15","","2007-2008","4th Quarter"
"DHL EXPRESS (CANADA), LTD.","CP12865","2008-04-01","0213  Courier Services","2008-04-01","2009-03-31","","18,758.00","","2008-2009","1st Quarter"
"DHL EXPRESS (CANADA), LTD.","CP12586","2008-04-01","0213  Courier Services","2008-04-01","2009-03-31","","50,850.00","","2008-2009","1st Quarter"
"Grand & Toy Ltd.","CP12515","2008-04-01","1172  Office and Stationers Supplies","","","2009-02-19","23,100.00","","2008-2009","1st Quarter"
"Equifax Canada Inc.","CP12625","2008-04-03","0859  Other Business Services not Elsewhere Specified","2008-04-07","2008-06-30","","15,000.00","","2008-2009","1st Quarter"
"Centre Linguistique EQUINOX Language Centre Inc.","CP12647","2008-04-04","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2008-04-07","2008-09-01","","15,061.20","","2008-2009","1st Quarter"
"Donald A. Belliveau & Assoc.","CP12653","2008-04-04","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2008-05-05","2009-05-29","","66,640.00","","2008-2009","1st Quarter"
"Manpower Temporary Services","CP12680","2008-04-08","0813  Temporary Help Services","2008-04-14","2008-08-15","","12,799.96","","2008-2009","1st Quarter"
"ORACLE CORPORATION CANADA INC.","CP12704","2008-04-09","1228  Computer software","2008-05-22","2009-05-21","","57,601.07","","2008-2009","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP12712","2008-04-10","0859  Other Business Services not Elsewhere Specified","2008-05-01","2009-04-30","","20,955.00","","2008-2009","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP12727","2008-04-11","0859  Other Business Services not Elsewhere Specified","2008-05-01","2009-04-30","","30,475.00","","2008-2009","1st Quarter"
"EAGLESPIRIT MARKETING INC.","CP12734","2008-04-14","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-04-30","12,366.72","","2008-2009","1st Quarter"
"COLLINS MANAGEMENT CONSULTING & RESEARCH LTD","CP12777","2008-04-15","0499  Other Professional Services not Elsewhere Specified","2008-04-15","2008-05-30","","18,080.00","","2008-2009","1st Quarter"
"Marathon Human Resources Consulting Group Ltd.","CP12757","2008-04-15","0491  Management Consulting","2008-05-01","2009-03-31","","24,747.00","","2008-2009","1st Quarter"
"Formation Linguistique Excel","CP12831","2008-04-21","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2008-04-28","2008-06-13","","11,650.30","","2008-2009","1st Quarter"
"AMJ Campbell international","CP12879","2008-04-24","0859  Other Business Services not Elsewhere Specified","2008-04-25","2009-03-31","","10,500.00","","2008-2009","1st Quarter"
"Bell Canada","CP12872","2008-04-24","0220  Telephone and other voice services (excluding enhanced telecommunications services)","2008-04-25","2009-03-31","","11,550.00","","2008-2009","1st Quarter"
"Canon Canada Inc.","CP12883","2008-04-24","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-04-25","2009-03-31","","12,600.00","","2008-2009","1st Quarter"
"Datarite   (St. John's)","CP12913","2008-04-29","1172  Office and Stationers Supplies","","","2008-04-29","14,690.00","","2008-2009","1st Quarter"
"Manpower  Services Canada Ltd.","CP12930","2008-04-30","0813  Temporary Help Services","2008-05-12","2008-08-22","","10,253.26","","2008-2009","1st Quarter"
"Manpower Services Canada limited","CP12954","2008-05-02","0813  Temporary Help Services","2008-05-05","2008-09-05","","26,821.68","","2008-2009","1st Quarter"
"Universite Sainte Anne","CP12992","2008-05-05","0446  Training Consultants","2008-05-05","2008-06-30","","11,367.80","","2008-2009","1st Quarter"
"Ideality Ltd.","CP12960","2008-05-06","0499  Other Professional Services not Elsewhere Specified","2008-05-08","2008-06-30","","18,564.00","","2008-2009","1st Quarter"
"Market Access International Canada Inc.","CP12998","2008-05-07","0491  Management Consulting","2008-05-07","2008-08-31","","33,900.00","","2008-2009","1st Quarter"
"CATA Alliance","CP13014","2008-05-09","0859  Other Business Services not Elsewhere Specified","2008-05-14","2008-05-30","","20,066.50","","2008-2009","1st Quarter"
"Sharp Electronics of Canada c/o Pitney Bowes of Canada Ltd","CP13085","2008-05-20","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-06-02","2013-05-31","","21,686.50","","2008-2009","1st Quarter"
"THE CONFERENCE BOARD OF CANADA","CP13069","2008-05-20","0859  Other Business Services not Elsewhere Specified","2008-06-01","2009-05-31","","21,125.00","","2008-2009","1st Quarter"
"Action Personnel of Ottawa-Hull Ltd.","CP13070","2008-05-21","0813  Temporary Help Services","2008-06-02","2008-12-31","","40,337.61","","2008-2009","1st Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP12967","2008-05-21","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-08-31","14,238.99","","2008-2009","1st Quarter"
"EAGLESPIRIT MARKETING INC.","CP12966","2008-05-22","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-07-22","20,057.50","","2008-2009","1st Quarter"
"Martillac Limited","CP13116","2008-05-23","0499  Other Professional Services not Elsewhere Specified","2008-05-29","2008-07-18","","11,917.50","","2008-2009","1st Quarter"
"Dalhousie University College of Continuing Education","CP13132","2008-05-27","0499  Other Professional Services not Elsewhere Specified","2008-06-09","2008-06-13","","11,300.00","","2008-2009","1st Quarter"
"Donald R. Ridley","CP13141","2008-05-28","0499  Other Professional Services not Elsewhere Specified","2008-06-05","2009-01-30","","17,850.00","","2008-2009","1st Quarter"
"Agriculture and Rural Investment Committee, Investment Association of China","CP12861","2008-06-02","0499  Other Professional Services not Elsewhere Specified","2008-06-06","2010-12-31","","48,300.00","","2008-2009","1st Quarter"
"ACTION PERSONNEL OF OTTAWA-HULL LTD.","CP13222","2008-06-09","0813  Temporary Help Services","2008-07-21","2008-10-31","","15,575.49","","2008-2009","1st Quarter"
"Hudson Design Group","CP13211","2008-06-09","0351  Communications Professional Services not Elsewhere Specified","2008-06-12","2008-08-10","","11,283.05","","2008-2009","1st Quarter"
"Zhejiang University","CP12860","2008-06-10","0499  Other Professional Services not Elsewhere Specified","2008-06-16","2010-12-31","","62,750.00","","2008-2009","1st Quarter"
"COMPART EVENT MANAGEMENT LIMITED","CP13256","2008-06-11","0822  Hospitality","2008-06-25","2008-07-01","","16,475.40","","2008-2009","1st Quarter"
"GARTNER CANADA CO.","CP13312","2008-06-17","0472  Information technology consultants","2008-07-01","2009-06-30","","89,081.67","","2008-2009","1st Quarter"
"GRANT THORNTON","CP13301","2008-06-17","0491  Management Consulting","2008-06-17","2008-07-31","","10,170.00","","2008-2009","1st Quarter"
"ALLSTREAM","CP10283","2008-06-23","0472  Information technology consultants","2007-07-23","2008-09-30","","78,318.00","AMENDMENT Original Contract Value:$61,560.00. Amended contract value is within call-up limitation of $100,000. ","2008-2009","1st Quarter"
"Manpower Temporary Services","CP12553","2008-06-23","0813  Temporary Help Services","2008-04-14","2008-08-29","","14,271.22","AMENDMENT Original Contract Value:$8,091.93. Amended contract value is within call-up limitation of $40,000. ","2008-2009","1st Quarter"
"COMPART EVENT MANAGEMENT LIMITED","CP13256","2008-06-26","0822  Hospitality","2008-06-25","2008-07-01","","19,526.40","AMENDMENT Original Contract Value:$16,475.40 Amended contract value is within call-up limitation of $100,000. ","2008-2009","1st Quarter"
"InPro Solutions","CP13380","2008-07-02","0499  Other Professional Services not Elsewhere Specified","2008-07-07","2008-11-14","","16,219.35","","2008-2009","2nd Quarter"
"ALLSTREAM","CP13409","2008-07-03","0472  Information technology consultants","2008-07-07","2008-09-30","","38,646.00","","2008-2009","2nd Quarter"
"Stratégie Organisation et Méthode (SOM Inc.)","CP13449","2008-07-09","0401  Accounting and Audit Services","2008-07-21","2008-09-08","","18,771.57","","2008-2009","2nd Quarter"
"KENSINGTON ASSOCIATES","CP13470","2008-07-11","0499  Other Professional Services not Elsewhere Specified","2008-07-25","2008-09-15","","25,000.00","","2008-2009","2nd Quarter"
"IMP GROUP LIMITED","CP13471","2008-07-14","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-08-21","11,015.17","","2008-2009","2nd Quarter"
"Hudson Design Group","CP13446","2008-07-15","0351  Communications Professional Services not Elsewhere Specified","2008-07-15","2008-08-31","","33,803.95","","2008-2009","2nd Quarter"
"Martillac Limited","CP13521","2008-07-18","0499  Other Professional Services not Elsewhere Specified","2008-07-28","2008-08-29","","16,950.00","","2008-2009","2nd Quarter"
"COPEM Consulting Inc.","CP13557","2008-07-25","0499  Other Professional Services not Elsewhere Specified","2008-07-31","2008-11-25","","12,075.00","","2008-2009","2nd Quarter"
"Ron P. Miller, Chartered Accountant","CP13556","2008-07-25","0859  Other Business Services not Elsewhere Specified","2008-08-18","2008-09-30","","12,595.70","","2008-2009","2nd Quarter"
"Haisley Millar Consulting Group Inc.","CP13584","2008-07-29","0491  Management Consulting","2008-09-02","2008-11-30","","11,300.00","","2008-2009","2nd Quarter"
"Manpower Temporary Services","CP13594","2008-07-31","0813  Temporary Help Services","2008-08-11","2008-10-31","","11,438.37","","2008-2009","2nd Quarter"
"SKYRIDGE SYSTEMS INC.","CP13624","2008-08-06","0472  Information technology consultants","2008-08-11","2008-12-31","","84,750.00","","2008-2009","2nd Quarter"
"Bulletproof Solutions Inc.","CP12033","2008-08-11","0472  Information technology consultants","2008-02-25","2008-12-31","","61,375.95","AMENDMENT Original Contract Value:$37,459.50. Amended contract value is within call-up limitation of $100,000. ","2008-2009","2nd Quarter"
"Bulletproof Solutions Inc.","CP10847","2008-08-11","0472  Information technology consultants","2007-09-29","2008-12-31","","97,606.80","AMENDMENT Original Contract Value:$42,664.50 Amended contract value is within call-up limitation of $100,000. ","2008-2009","2nd Quarter"
"Manpower Temporary Services","CP10313","2008-08-11","0813  Temporary Help Services","2007-09-04","2008-10-03","","37,470.80","AMENDMENT Original Contract Value:$2,608.95 Amended contract value is within call-up limitation of $40,000  ","2008-2009","2nd Quarter"
"RESEARCH IN MOTION LIMITED","CP10768","2008-08-15","0670  Computer equipment - hardware and software","2007-10-01","2009-09-30","","23,849.71","AMENDMENT Original Contract Value:$11,843.46 Exercised the renewal option included in original contract.","2008-2009","2nd Quarter"
"ALLSTREAM","CP13707","2008-08-21","0472  Information technology consultants","2008-09-02","2009-01-30","","97,632.00","","2008-2009","2nd Quarter"
"Brian Rogers Consulting Inc.","CP13736","2008-08-26","0491  Management Consulting","2008-09-15","2009-01-23","","11,300.00","","2008-2009","2nd Quarter"
"Brian Rogers Consulting Inc.","CP13737","2008-08-26","0491  Management Consulting","2008-09-15","2009-01-23","","11,300.00","","2008-2009","2nd Quarter"
"The Governance Network","CP13735","2008-08-26","0499  Other Professional Services not Elsewhere Specified","2008-09-01","2010-06-30","","51,509.25","","2008-2009","2nd Quarter"
"Formation Linguistique Excel","CP10284","2008-08-27","0447  Tuition Fees and Costs of Attending Courses Including Seminars not Elsewhere Specified","2007-09-04","2008-10-31","","54,047.00","AMENDMENT Original Contract Value:$32,893.00 Amended contract value is within call-up limitation of $85,000. ","2008-2009","2nd Quarter"
"MICROAGE TECHNOLOGY SERVICES","CP13759","2008-08-28","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-09-30","36,670.76","","2008-2009","2nd Quarter"
"EAGLESPIRIT MARKETING INC.","CP13781","2008-09-02","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-10-02","17,611.05","","2008-2009","2nd Quarter"
"IMP GROUP LIMITED","CP13777","2008-09-02","1227  Computer equipment - small-desktop/ personal/ portable/keyboard","","","2008-10-15","73,219.63","","2008-2009","2nd Quarter"
"Leslie Harris Centre of Regional Policy and Development","CP13842","2008-09-08","049   OTHER PROFESSIONAL SERVICES","2008-09-08","2009-06-13","","28,103.11","","2008-2009","2nd Quarter"
"PITNEY BOWES OF CANADA LTD.","CP13792","2008-09-08","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-10-01","2013-09-30","","10,408.66","","2008-2009","2nd Quarter"
"PITNEY BOWES OF CANADA LTD.","CP13789","2008-09-08","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-10-01","2013-09-30","","11,336.16","","2008-2009","2nd Quarter"
"PITNEY BOWES OF CANADA LTD.","CP13805","2008-09-08","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-10-01","2013-09-30","","12,882.00","","2008-2009","2nd Quarter"
"PITNEY BOWES OF CANADA LTD.","CP13774","2008-09-08","0533  Rental of Machinery, Office Furniture and Fixtures and Other Equipment","2008-09-30","2013-10-01","","19,323.00","","2008-2009","2nd Quarter"
"Priority Personnel Inc.","CP12581","2008-09-09","0813  Temporary Help Services","2008-04-01","2008-10-10","","20,594.26","AMENDMENT Original Contract Value:$9,076.73. Amended contract value is within call-up limitation of $40,000 ","2008-2009","2nd Quarter"
"Datarite","CP13311","2008-09-16","1172  Office and Stationers Supplies","","","2009-03-31","10,170.00","AMENDMENT Original Contract Value:$2,260.00. Amended contract value is within call-up limitation of $25,000. ","2008-2009","2nd Quarter"
"Université Sainte - Anne Halifax","CP13898","2008-09-19","0499  Other Professional Services not Elsewhere Specified","2008-09-22","2008-12-02","","14,238.00","","2008-2009","2nd Quarter"
"Compass Communications Inc.","CP13965","2008-09-25","0351  Communications Professional Services not Elsewhere Specified","2008-09-29","2008-12-31","","11,633.35","","2008-2009","2nd Quarter"
"MANPOWER","CP12978","2008-09-29","0813  Temporary Help Services","2008-05-01","2008-10-17","","15,924.69","AMENDMENT Original Contract Value:$8,913.30. Amended contract value is within call-up limitation of $40,000. ","2008-2009","2nd Quarter"
"Alex Pelley","3X004-080363/050/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Auspex Consulting Inc","3X004-080363/006/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Axis Consulting","3X004-080363/041/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Barry W Sheppard","3X004-080364/002/XAQ","2008-10-01","0401  Accounting and Audit Services","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Barry W Sheppard","3X004-080363/035/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Belanger Clarke Follett McGettigan","3X004-080363/040/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Bette Anderson","3X004-080363/001/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Bradbury and Associates Limited","3X004-080363/029/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional  Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Brent Wareham","3X004-080363/010/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Brian Bonnell Gordon Janes","3X004-080364/004/XAQ","2008-10-01","0401  Accounting and Audit Services","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"CBCL Limited","3X004-080363/007/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional  Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Central Consulting Services Inc","3X004-080363/016/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"David W Curran","3X004-080363/034/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"David Yetman","3X004-080363/031/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional  Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Debra J. Feltham, Renee Attwood","3X004-080363/002/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Derrick Myers","3X004-080363/022/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
"Diane Elizabeth Hollett","3X004-080363/011/XAQ","2008-10-01","0491  Management Consulting","2008-10-01","2009-09-30","","0.00","Regional Individual Standing Offer Agreement","2008-2009","3rd Quarter"
